,Renda,Idade,Emprestimo,Finalidade,Tempo Trabalho,Taxa,Renda Emp.,Situação
2380,47004,26,2500,MEDICAL,9.0,15.65,0.05,0
2381,32000,22,6000,EDUCATION,3.0,8.49,0.19,0
2382,48000,24,2500,EDUCATION,4.0,13.35,0.05,0
2383,49500,22,2500,MEDICAL,7.0,14.27,0.05,0
2384,32000,26,4900,EDUCATION,4.0,5.99,0.15,0
2385,45630,22,2500,EDUCATION,0.0,18.64,0.05,1
2388,52000,26,2500,DEBTCONSOLIDATION,6.0,14.82,0.05,0
2389,46180,24,2500,VENTURE,1.0,13.98,0.05,1
2390,54000,25,2500,PERSONAL,4.0,13.98,0.05,0
2391,54000,23,2500,EDUCATION,7.0,16.32,0.05,0
2392,32000,25,15000,PERSONAL,3.0,11.11,0.47,0
2393,54996,22,2500,DEBTCONSOLIDATION,6.0,14.35,0.05,0
2394,48996,26,2500,DEBTCONSOLIDATION,8.0,14.59,0.05,1
2395,55000,25,2500,PERSONAL,4.0,7.88,0.05,0
2398,57600,24,2500,EDUCATION,8.0,14.72,0.04,0
2399,32000,25,3250,PERSONAL,7.0,10.74,0.1,1
2400,59000,23,2500,PERSONAL,7.0,14.96,0.04,0
2402,60000,25,2500,PERSONAL,9.0,8.63,0.04,0
2403,61000,23,2500,DEBTCONSOLIDATION,3.0,7.49,0.04,0
2404,32000,26,4800,VENTURE,7.0,12.61,0.15,0
2405,32000,25,6250,DEBTCONSOLIDATION,3.0,11.49,0.2,0
2406,63000,23,2500,EDUCATION,7.0,14.72,0.04,0
2407,64000,26,2500,MEDICAL,3.0,10.99,0.04,0
2408,65004,25,2500,MEDICAL,10.0,10.08,0.04,0
2409,69996,24,2500,DEBTCONSOLIDATION,3.0,12.53,0.04,0
2410,32000,24,3000,VENTURE,4.0,10.75,0.09,0
2411,54400,22,2500,MEDICAL,6.0,16.49,0.04,1
2412,32000,24,4500,VENTURE,7.0,6.76,0.14,0
2413,64000,24,2500,HOMEIMPROVEMENT,4.0,11.14,0.04,1
2414,70082,24,2500,VENTURE,5.0,12.61,0.04,0
2415,79800,24,2500,HOMEIMPROVEMENT,8.0,9.62,0.03,0
2416,82400,26,2500,VENTURE,10.0,13.92,0.03,0
2417,85000,26,2500,EDUCATION,1.0,8.59,0.03,0
2418,92500,23,2500,VENTURE,6.0,10.74,0.03,0
2419,32000,24,12250,EDUCATION,6.0,8.94,0.38,0
2420,112995,23,2500,VENTURE,7.0,7.37,0.02,0
2421,121000,26,2500,EDUCATION,2.0,7.66,0.02,0
2422,200004,26,2500,MEDICAL,7.0,13.61,0.01,0
2423,10560,23,2800,DEBTCONSOLIDATION,0.0,9.99,0.27,1
2424,13000,23,2800,PERSONAL,3.0,15.21,0.22,1
2425,13380,25,2800,PERSONAL,0.0,14.61,0.21,1
2426,14400,22,2800,VENTURE,5.0,6.54,0.19,1
2427,32000,22,6950,VENTURE,0.0,7.74,0.22,0
2428,14800,21,2800,DEBTCONSOLIDATION,5.0,8.0,0.19,1
2429,15000,26,2800,EDUCATION,1.0,15.31,0.19,1
2430,32000,23,1200,VENTURE,4.0,7.68,0.04,0
2431,15600,21,2800,MEDICAL,0.0,7.4,0.18,1
2432,32000,23,15000,DEBTCONSOLIDATION,1.0,11.58,0.47,0
2433,20800,25,2800,HOMEIMPROVEMENT,0.0,15.21,0.13,1
2434,32000,21,4500,PERSONAL,3.0,16.0,0.14,0
2435,21168,24,2800,VENTURE,3.0,14.22,0.13,0
2436,23000,22,2800,MEDICAL,1.0,21.74,0.12,1
2438,24000,23,2800,MEDICAL,2.0,11.49,0.12,1
2439,32000,25,8000,DEBTCONSOLIDATION,1.0,13.16,0.25,0
2440,32000,21,4200,DEBTCONSOLIDATION,5.0,11.58,0.13,0
2441,32000,25,2500,HOMEIMPROVEMENT,1.0,7.68,0.08,1
2443,26500,23,2800,EDUCATION,1.0,12.29,0.11,0
2444,27000,22,2800,MEDICAL,3.0,7.51,0.1,1
2445,32000,22,1200,MEDICAL,1.0,9.96,0.04,0
2446,32000,23,2500,HOMEIMPROVEMENT,0.0,12.8,0.08,1
2447,28800,23,2800,PERSONAL,5.0,10.38,0.1,0
2448,29376,22,2800,EDUCATION,1.0,7.43,0.1,0
2450,19200,22,2850,MEDICAL,3.0,15.27,0.15,0
2452,32004,25,22750,PERSONAL,3.0,6.17,0.71,0
2453,45000,24,2850,MEDICAL,3.0,11.86,0.06,0
2454,32004,23,9250,EDUCATION,0.0,17.19,0.29,0
2455,90000,22,2850,VENTURE,5.0,5.99,0.03,0
2456,28000,23,2875,VENTURE,2.0,15.23,0.1,0
2457,36800,25,2875,MEDICAL,1.0,11.28,0.08,0
2458,32004,22,10000,EDUCATION,6.0,7.51,0.31,0
2459,66000,26,2875,DEBTCONSOLIDATION,0.0,7.49,0.04,0
2460,32004,24,14000,VENTURE,5.0,12.73,0.44,0
2461,19000,21,2900,PERSONAL,0.0,8.0,0.15,0
2462,31200,26,2900,MEDICAL,0.0,9.91,0.09,0
2464,50000,25,2900,EDUCATION,0.0,8.0,0.06,0
2465,27000,22,2925,PERSONAL,5.0,10.71,0.11,0
2466,32004,22,10000,EDUCATION,6.0,10.83,0.31,0
2467,32004,22,6600,EDUCATION,0.0,9.07,0.21,0
2468,25000,22,2975,VENTURE,0.0,9.96,0.12,0
2469,49800,21,2975,EDUCATION,6.0,7.9,0.06,0
2470,32112,22,15000,PERSONAL,4.0,13.98,0.47,0
2471,10000,24,3000,PERSONAL,8.0,7.9,0.3,1
2472,32198,23,1000,EDUCATION,3.0,10.95,0.03,0
2473,12000,21,3000,EDUCATION,5.0,8.9,0.25,1
2474,12000,21,3000,VENTURE,0.0,7.88,0.25,1
2476,32268,21,8000,MEDICAL,0.0,8.0,0.25,0
2477,14000,23,3000,VENTURE,4.0,7.74,0.21,1
2478,14400,21,3000,MEDICAL,2.0,13.43,0.21,1
2479,32352,22,1000,HOMEIMPROVEMENT,6.0,15.27,0.03,1
2480,14400,21,3000,HOMEIMPROVEMENT,2.0,9.63,0.21,1
2481,32388,23,6000,EDUCATION,0.0,10.71,0.19,0
2483,15000,22,3000,EDUCATION,3.0,9.91,0.2,1
2484,15000,22,3000,VENTURE,2.0,7.51,0.2,1
2485,32400,22,4200,VENTURE,6.0,10.99,0.13,0
2486,32400,25,10000,PERSONAL,9.0,13.99,0.31,0
2488,32400,25,4800,DEBTCONSOLIDATION,2.0,7.29,0.15,0
2489,32400,22,3625,EDUCATION,6.0,6.92,0.11,0
2491,32400,21,10000,EDUCATION,2.0,5.42,0.31,0
2492,16320,22,3000,HOMEIMPROVEMENT,0.0,13.92,0.18,1
2494,17400,25,3000,EDUCATION,0.0,11.83,0.17,1
2495,17520,23,3000,DEBTCONSOLIDATION,5.0,10.37,0.17,1
2496,17916,21,3000,MEDICAL,1.0,6.0,0.17,1
2497,18000,23,3000,HOMEIMPROVEMENT,1.0,11.71,0.17,1
2498,18000,21,3000,DEBTCONSOLIDATION,0.0,7.9,0.17,1
2500,32400,21,5000,PERSONAL,5.0,16.0,0.15,1
2501,18000,24,3000,PERSONAL,5.0,15.27,0.17,1
2502,18000,23,3000,HOMEIMPROVEMENT,1.0,15.99,0.17,1
2503,18000,22,3000,MEDICAL,0.0,13.99,0.17,1
2504,32450,26,3250,MEDICAL,5.0,6.99,0.1,0
2505,18000,22,3000,DEBTCONSOLIDATION,3.0,10.59,0.17,1
2506,18000,23,3000,PERSONAL,4.0,13.06,0.17,1
2508,18000,22,3000,PERSONAL,1.0,11.86,0.17,1
2509,32500,25,12500,EDUCATION,3.0,7.9,0.38,0
2510,18008,21,3000,MEDICAL,1.0,9.7,0.17,1
2511,32500,22,2500,DEBTCONSOLIDATION,6.0,6.99,0.08,0
2512,18864,21,3000,HOMEIMPROVEMENT,0.0,10.99,0.16,1
2513,32500,22,14500,DEBTCONSOLIDATION,5.0,11.99,0.45,0
2514,19000,22,3000,VENTURE,5.0,13.06,0.16,1
2515,19200,23,3000,VENTURE,3.0,12.99,0.16,1
2516,19200,23,3000,PERSONAL,0.0,9.99,0.16,1
2517,32500,24,6600,MEDICAL,6.0,12.73,0.2,0
2518,32500,26,3000,MEDICAL,8.0,13.22,0.09,0
2519,32500,26,3500,HOMEIMPROVEMENT,0.0,8.59,0.11,0
2520,19200,21,3000,PERSONAL,0.0,10.99,0.16,1
2522,20000,22,3000,EDUCATION,2.0,13.11,0.15,0
2523,20004,21,3000,EDUCATION,2.0,10.37,0.15,0
2525,20800,23,3000,DEBTCONSOLIDATION,0.0,11.46,0.14,0
2526,32760,25,6000,VENTURE,6.0,10.59,0.18,0
2527,21000,26,3000,PERSONAL,3.0,10.59,0.14,0
2528,21000,23,3000,DEBTCONSOLIDATION,2.0,12.68,0.14,0
2529,21600,22,3000,EDUCATION,2.0,13.49,0.14,0
2530,32900,21,3000,MEDICAL,2.0,9.99,0.09,0
2531,32968,22,16500,EDUCATION,6.0,8.9,0.5,0
2532,22000,24,3000,PERSONAL,3.0,10.33,0.14,0
2533,22800,22,3000,MEDICAL,3.0,6.62,0.13,0
2534,23000,22,3000,MEDICAL,4.0,5.79,0.13,0
2535,23000,24,3000,EDUCATION,0.0,8.0,0.13,0
2536,33000,22,12000,PERSONAL,6.0,9.91,0.36,0
2537,30000,24,3000,EDUCATION,2.0,6.03,0.1,0
2539,30000,24,3000,DEBTCONSOLIDATION,4.0,19.29,0.1,1
2540,30000,24,3000,PERSONAL,2.0,7.49,0.1,0
2541,33000,22,8875,VENTURE,6.0,10.65,0.27,0
2542,30000,23,3000,VENTURE,2.0,7.49,0.1,0
2543,30000,24,3000,PERSONAL,1.0,10.37,0.1,0
2544,30000,23,3000,MEDICAL,0.0,5.79,0.1,0
2545,30000,25,3000,DEBTCONSOLIDATION,3.0,12.98,0.1,0
2546,30000,23,3000,MEDICAL,3.0,15.2,0.1,1
2547,30000,21,3000,PERSONAL,5.0,9.62,0.1,0
2548,30000,25,3000,PERSONAL,3.0,13.61,0.1,0
2549,30000,22,3000,PERSONAL,3.0,11.12,0.1,0
2550,30000,21,3000,EDUCATION,4.0,16.32,0.1,0
2551,30000,24,3000,MEDICAL,8.0,11.86,0.1,0
2552,30000,24,3000,DEBTCONSOLIDATION,1.0,13.98,0.1,1
2555,33000,25,8000,EDUCATION,6.0,6.62,0.24,0
2556,33000,21,2000,HOMEIMPROVEMENT,5.0,14.27,0.06,1
2557,30000,25,3000,HOMEIMPROVEMENT,4.0,12.21,0.1,1
2558,30000,21,3000,EDUCATION,2.0,11.89,0.1,0
2559,33000,25,3000,MEDICAL,9.0,11.99,0.09,0
2560,30960,24,3000,MEDICAL,5.0,15.62,0.1,0
2561,33000,25,5000,VENTURE,9.0,8.49,0.15,0
2562,31131,26,3000,MEDICAL,0.0,13.36,0.1,1
2564,31200,22,3000,EDUCATION,3.0,11.86,0.1,0
2565,31200,23,3000,EDUCATION,2.0,11.89,0.1,0
2566,31356,22,3000,DEBTCONSOLIDATION,0.0,7.68,0.1,0
2567,33000,23,8325,PERSONAL,3.0,15.99,0.25,0
2568,33000,24,1250,PERSONAL,3.0,19.29,0.04,0
2569,33000,23,8000,EDUCATION,4.0,7.49,0.24,0
2570,32000,25,3000,DEBTCONSOLIDATION,3.0,8.94,0.09,0
2571,32000,24,3000,MEDICAL,4.0,12.29,0.09,0
2572,33000,24,2050,HOMEIMPROVEMENT,8.0,13.49,0.06,1
2573,32004,25,3000,DEBTCONSOLIDATION,0.0,9.32,0.09,0
2574,32400,23,3000,VENTURE,6.0,10.0,0.09,0
2575,32400,22,3000,PERSONAL,5.0,16.45,0.09,0
2576,32640,26,3000,VENTURE,7.0,10.75,0.09,0
2577,33000,26,3000,MEDICAL,7.0,5.99,0.09,0
2578,33000,22,12375,DEBTCONSOLIDATION,5.0,7.29,0.38,0
2579,33000,25,3000,VENTURE,3.0,5.99,0.09,0
2580,33000,25,3000,PERSONAL,6.0,10.95,0.09,0
2581,33189,26,3000,EDUCATION,4.0,11.12,0.09,0
2582,34008,23,3000,VENTURE,5.0,10.0,0.09,0
2583,34500,22,3000,DEBTCONSOLIDATION,3.0,11.83,0.09,0
2584,29000,25,3000,MEDICAL,9.0,6.62,0.1,1
2586,35000,23,3000,PERSONAL,4.0,13.85,0.09,0
2587,35000,22,3000,EDUCATION,5.0,10.01,0.09,0
2588,29244,22,3000,DEBTCONSOLIDATION,0.0,13.3,0.1,1
2589,35256,24,3000,DEBTCONSOLIDATION,2.0,10.74,0.09,0
2590,36000,22,3000,PERSONAL,0.0,11.71,0.08,0
2591,36000,23,3000,MEDICAL,0.0,7.29,0.08,0
2592,36000,26,3000,EDUCATION,3.0,7.88,0.08,0
2593,36000,24,3000,EDUCATION,0.0,13.92,0.08,0
2594,33000,23,3000,DEBTCONSOLIDATION,2.0,14.35,0.09,0
2595,36600,24,3000,DEBTCONSOLIDATION,4.0,9.33,0.08,0
2596,37000,25,3000,MEDICAL,2.0,11.71,0.08,0
2597,33000,21,7800,PERSONAL,5.0,9.88,0.24,0
2598,37000,21,3000,EDUCATION,0.0,6.39,0.08,0
2600,38000,24,3000,EDUCATION,2.0,13.06,0.08,0
2601,38000,21,3000,DEBTCONSOLIDATION,5.0,7.05,0.08,0
2602,38000,22,3000,EDUCATION,0.0,10.28,0.08,0
2603,33000,22,12500,EDUCATION,4.0,14.26,0.38,0
2604,33000,24,8125,MEDICAL,0.0,8.59,0.25,0
2605,33000,25,4400,EDUCATION,4.0,8.0,0.13,0
2606,38400,24,3000,PERSONAL,8.0,17.56,0.08,0
2607,38748,25,3000,PERSONAL,2.0,7.29,0.08,0
2608,33000,24,4000,VENTURE,3.0,13.04,0.12,0
2609,33000,26,3000,MEDICAL,2.0,11.49,0.09,1
2610,39996,22,3000,PERSONAL,4.0,14.35,0.08,0
2611,33000,26,7000,PERSONAL,10.0,7.43,0.21,0
2612,33012,23,12200,EDUCATION,2.0,10.99,0.37,0
2613,40000,23,3000,PERSONAL,2.0,13.49,0.07,0
2614,40000,24,3000,PERSONAL,1.0,10.74,0.07,0
2617,33168,21,6425,PERSONAL,6.0,9.63,0.19,0
2618,40000,25,3000,MEDICAL,2.0,10.25,0.07,0
2619,40000,24,3000,MEDICAL,1.0,14.22,0.07,0
2620,37000,22,3000,DEBTCONSOLIDATION,2.0,20.3,0.08,1
2621,43000,23,3000,EDUCATION,1.0,8.49,0.07,0
2622,37000,22,3000,DEBTCONSOLIDATION,6.0,11.11,0.08,1
2623,37000,23,3000,EDUCATION,7.0,10.75,0.08,1
2624,43200,25,3000,PERSONAL,3.0,13.8,0.07,0
2625,43200,22,3000,EDUCATION,4.0,13.72,0.07,0
2626,43500,22,3000,EDUCATION,0.0,5.42,0.07,0
2627,43500,24,3000,PERSONAL,1.0,8.0,0.07,0
2628,33280,21,11200,VENTURE,5.0,13.92,0.34,1
2629,43949,23,3000,MEDICAL,7.0,11.49,0.07,0
2630,44000,23,3000,MEDICAL,2.0,9.25,0.07,0
2631,33300,23,9000,VENTURE,2.0,13.57,0.27,0
2632,33316,25,5000,VENTURE,4.0,6.54,0.15,0
2633,33321,24,12250,VENTURE,4.0,13.11,0.37,0
2634,33360,24,6000,DEBTCONSOLIDATION,6.0,10.59,0.18,0
2635,33360,24,2500,HOMEIMPROVEMENT,7.0,7.14,0.07,0
2636,45000,25,3000,MEDICAL,4.0,7.9,0.07,0
2638,45000,24,3000,MEDICAL,8.0,7.49,0.07,0
2639,45000,24,3000,DEBTCONSOLIDATION,1.0,9.99,0.07,0
2640,45000,22,3000,PERSONAL,3.0,11.99,0.07,0
2642,39000,24,3000,MEDICAL,0.0,14.61,0.08,1
2644,45000,24,3000,VENTURE,4.0,9.32,0.07,0
2645,39327,21,3000,MEDICAL,5.0,13.67,0.08,1
2648,33600,25,7125,MEDICAL,9.0,7.51,0.21,0
2649,33600,22,5000,MEDICAL,1.0,18.25,0.15,0
2650,33600,24,2500,PERSONAL,3.0,8.9,0.07,0
2653,33600,23,8000,PERSONAL,8.0,6.99,0.24,0
2654,47000,22,3000,EDUCATION,3.0,6.62,0.06,0
2655,47208,21,3000,PERSONAL,2.0,13.92,0.06,0
2657,47500,26,3000,VENTURE,8.0,6.76,0.06,0
2662,48000,22,3000,PERSONAL,0.0,14.79,0.06,0
2663,48000,25,3000,EDUCATION,0.0,13.47,0.06,0
2664,48000,21,3000,EDUCATION,2.0,9.76,0.06,0
2665,48000,26,3000,MEDICAL,4.0,10.14,0.06,0
2666,33600,25,12000,VENTURE,1.0,9.99,0.36,0
2667,49800,22,3000,PERSONAL,1.0,7.88,0.06,0
2668,50000,25,3000,HOMEIMPROVEMENT,5.0,6.03,0.06,0
2669,44000,26,3000,HOMEIMPROVEMENT,0.0,7.49,0.07,1
2670,50000,23,3000,DEBTCONSOLIDATION,1.0,8.49,0.06,0
2671,44000,23,3000,DEBTCONSOLIDATION,4.0,7.66,0.07,1
2672,50000,23,3000,EDUCATION,0.0,6.91,0.06,0
2673,33600,22,10750,EDUCATION,7.0,7.88,0.32,0
2674,44000,23,3000,PERSONAL,4.0,9.62,0.07,1
2675,33600,22,5000,VENTURE,6.0,7.14,0.15,0
2677,50000,26,3000,PERSONAL,8.0,9.88,0.06,0
2678,50000,22,3000,PERSONAL,6.0,10.99,0.06,0
2679,51000,24,3000,DEBTCONSOLIDATION,1.0,8.9,0.06,0
2680,51600,24,3000,HOMEIMPROVEMENT,8.0,10.65,0.06,0
2681,51600,24,3000,HOMEIMPROVEMENT,1.0,12.68,0.06,0
2682,51684,24,3000,PERSONAL,8.0,10.59,0.06,0
2683,45996,22,3000,MEDICAL,0.0,15.62,0.07,1
2684,51996,23,3000,DEBTCONSOLIDATION,1.0,10.37,0.06,0
2685,33640,22,12000,VENTURE,4.0,10.65,0.36,0
2686,52000,23,3000,EDUCATION,0.0,5.99,0.06,0
2687,52000,25,3000,DEBTCONSOLIDATION,1.0,12.99,0.06,0
2688,33685,22,5000,EDUCATION,6.0,13.85,0.15,0
2690,48609,22,12000,DEBTCONSOLIDATION,6.0,7.49,0.25,0
2691,33800,26,14400,VENTURE,9.0,7.88,0.43,0
2692,48645,23,12000,VENTURE,1.0,10.25,0.25,0
2693,33800,25,10000,EDUCATION,2.0,15.31,0.3,0
2694,33800,23,13000,EDUCATION,4.0,15.31,0.38,0
2695,48672,23,12000,EDUCATION,6.0,7.42,0.25,0
2697,33990,23,1000,DEBTCONSOLIDATION,2.0,10.59,0.03,1
2698,49600,25,12000,EDUCATION,9.0,7.14,0.24,0
2699,33996,24,4000,VENTURE,8.0,14.91,0.12,0
2700,50000,25,12000,PERSONAL,3.0,16.77,0.24,0
2703,33996,21,2500,HOMEIMPROVEMENT,2.0,7.88,0.07,1
2704,33996,22,10000,VENTURE,0.0,14.96,0.29,0
2705,50000,21,12000,PERSONAL,0.0,11.71,0.24,0
2706,50000,23,12000,EDUCATION,0.0,10.59,0.24,0
2707,50000,24,12000,EDUCATION,3.0,17.14,0.24,0
2708,44000,24,12000,DEBTCONSOLIDATION,3.0,12.23,0.27,1
2709,50000,23,12000,DEBTCONSOLIDATION,1.0,6.54,0.24,0
2710,44000,22,12000,DEBTCONSOLIDATION,3.0,11.86,0.27,1
2711,50000,24,12000,HOMEIMPROVEMENT,1.0,7.51,0.24,0
2712,50000,25,12000,EDUCATION,2.0,7.88,0.24,0
2714,50000,25,12000,PERSONAL,5.0,7.88,0.24,0
2715,50000,23,12000,EDUCATION,1.0,12.87,0.24,0
2716,50004,22,12000,PERSONAL,6.0,10.0,0.24,0
2717,44004,25,12000,MEDICAL,3.0,15.31,0.27,1
2718,44004,23,12000,VENTURE,0.0,16.0,0.27,1
2719,50361,22,12000,EDUCATION,6.0,12.73,0.24,0
2720,34000,26,12000,DEBTCONSOLIDATION,6.0,6.03,0.35,0
2722,50500,23,12000,VENTURE,1.0,11.58,0.24,0
2723,34000,25,10000,DEBTCONSOLIDATION,9.0,12.42,0.29,0
2724,34000,25,2500,HOMEIMPROVEMENT,1.0,6.03,0.07,0
2725,34000,23,10000,DEBTCONSOLIDATION,2.0,6.99,0.29,0
2726,51000,23,12000,EDUCATION,3.0,12.99,0.24,0
2728,51996,25,12000,MEDICAL,8.0,12.21,0.23,0
2729,52000,24,12000,PERSONAL,7.0,7.51,0.23,0
2730,34000,25,2000,DEBTCONSOLIDATION,9.0,7.66,0.06,1
2731,52000,22,12000,EDUCATION,6.0,11.99,0.23,0
2732,34000,23,10950,VENTURE,7.0,7.29,0.32,0
2733,34000,26,5000,PERSONAL,5.0,5.79,0.15,0
2734,52000,22,12000,EDUCATION,1.0,13.61,0.23,0
2735,34000,26,6000,PERSONAL,8.0,6.92,0.18,0
2736,52000,22,12000,PERSONAL,3.0,13.57,0.23,0
2737,34000,21,6000,EDUCATION,5.0,6.76,0.18,0
2738,46800,25,12000,HOMEIMPROVEMENT,5.0,13.11,0.26,1
2739,34000,21,7200,PERSONAL,5.0,6.76,0.21,1
2740,34000,24,5100,PERSONAL,1.0,14.35,0.15,0
2741,47000,23,12000,DEBTCONSOLIDATION,7.0,16.29,0.26,1
2742,53000,24,12000,VENTURE,6.0,11.11,0.23,0
2743,53000,26,12000,PERSONAL,4.0,14.59,0.23,0
2744,34000,22,11500,MEDICAL,5.0,10.99,0.34,0
2745,53000,24,12000,MEDICAL,7.0,12.53,0.23,0
2747,54000,22,12000,DEBTCONSOLIDATION,2.0,10.99,0.22,0
2748,34000,25,6000,MEDICAL,2.0,15.7,0.18,1
2749,54000,22,12000,DEBTCONSOLIDATION,6.0,8.49,0.22,0
2750,54000,24,12000,EDUCATION,6.0,8.49,0.22,0
2751,54000,23,12000,VENTURE,8.0,11.36,0.22,0
2752,48400,22,12000,VENTURE,6.0,14.65,0.25,1
2753,34000,25,10000,MEDICAL,0.0,12.87,0.29,0
2754,54996,25,12000,HOMEIMPROVEMENT,3.0,10.37,0.22,0
2755,34000,24,10000,MEDICAL,0.0,12.18,0.29,0
2756,54996,26,12000,PERSONAL,2.0,7.88,0.22,0
2757,34000,23,19000,DEBTCONSOLIDATION,7.0,11.48,0.56,0
2758,54996,22,12000,VENTURE,6.0,8.32,0.22,0
2759,55000,26,12000,PERSONAL,10.0,12.42,0.22,0
2760,34000,24,6000,HOMEIMPROVEMENT,2.0,14.11,0.18,0
2761,34000,25,10000,EDUCATION,1.0,11.26,0.29,0
2762,55000,25,12000,EDUCATION,9.0,10.65,0.22,0
2763,34000,22,5000,EDUCATION,6.0,9.63,0.15,0
2764,55000,21,12000,VENTURE,5.0,10.62,0.22,0
2765,34000,25,7000,EDUCATION,1.0,11.28,0.21,0
2766,49000,25,12000,DEBTCONSOLIDATION,1.0,13.49,0.24,1
2768,55008,22,12000,EDUCATION,6.0,13.79,0.22,0
2769,55032,24,12000,EDUCATION,8.0,9.63,0.22,0
2770,34056,21,1500,PERSONAL,6.0,10.65,0.04,0
2772,56000,22,12000,EDUCATION,1.0,6.91,0.21,0
2773,34174,23,9000,PERSONAL,8.0,13.47,0.26,0
2775,56000,21,12000,VENTURE,5.0,10.75,0.21,0
2776,56000,24,12000,VENTURE,8.0,11.49,0.21,0
2777,56000,23,12000,PERSONAL,2.0,10.75,0.21,0
2778,56000,24,12000,HOMEIMPROVEMENT,4.0,8.94,0.21,0
2779,56000,24,12000,VENTURE,0.0,14.26,0.21,0
2780,50100,25,12000,PERSONAL,1.0,14.74,0.24,1
2781,56755,22,12000,EDUCATION,5.0,10.99,0.21,0
2783,57000,26,12000,MEDICAL,0.0,10.99,0.21,0
2784,34348,23,5000,EDUCATION,7.0,7.9,0.15,0
2785,51000,23,12000,DEBTCONSOLIDATION,3.0,17.99,0.24,1
2786,57000,21,12000,DEBTCONSOLIDATION,5.0,7.29,0.21,0
2787,51000,24,12000,PERSONAL,3.0,7.88,0.24,1
2788,57000,22,12000,EDUCATION,6.0,13.11,0.21,0
2789,57000,23,12000,DEBTCONSOLIDATION,4.0,8.94,0.21,0
2790,57720,23,12000,DEBTCONSOLIDATION,8.0,12.87,0.21,0
2791,51780,25,12000,MEDICAL,8.0,13.47,0.23,1
2792,51840,23,12000,DEBTCONSOLIDATION,1.0,15.95,0.23,1
2793,34500,21,6400,EDUCATION,3.0,7.51,0.19,0
2794,58000,26,12000,DEBTCONSOLIDATION,5.0,9.91,0.21,0
2795,58000,22,12000,VENTURE,6.0,11.49,0.21,0
2796,58000,24,12000,EDUCATION,6.0,13.11,0.21,0
2797,52260,24,12000,MEDICAL,6.0,9.99,0.23,1
2798,34515,26,5400,DEBTCONSOLIDATION,11.0,7.68,0.16,0
2799,59000,22,12000,PERSONAL,6.0,10.37,0.2,0
2800,34560,23,10000,MEDICAL,1.0,10.59,0.29,0
2801,52000,24,3000,DEBTCONSOLIDATION,8.0,11.49,0.06,0
2803,52800,23,3000,MEDICAL,6.0,10.99,0.06,0
2804,34600,23,6800,EDUCATION,5.0,12.69,0.2,0
2805,34600,24,4000,DEBTCONSOLIDATION,2.0,5.42,0.12,0
2806,53000,25,3000,MEDICAL,6.0,13.99,0.06,0
2808,34662,23,3000,HOMEIMPROVEMENT,1.0,10.75,0.09,1
2810,34800,22,1500,DEBTCONSOLIDATION,3.0,13.49,0.04,0
2811,54000,25,3000,VENTURE,1.0,9.32,0.06,0
2812,34800,26,5975,MEDICAL,4.0,11.49,0.17,0
2813,34800,25,5125,DEBTCONSOLIDATION,6.0,6.99,0.15,1
2815,55000,23,3000,EDUCATION,2.0,6.99,0.05,0
2816,55000,22,3000,PERSONAL,6.0,12.68,0.05,0
2817,49000,25,3000,VENTURE,2.0,12.68,0.06,1
2818,49000,22,3000,DEBTCONSOLIDATION,7.0,12.23,0.06,1
2820,55000,23,3000,VENTURE,2.0,9.88,0.05,0
2821,55000,25,3000,MEDICAL,0.0,6.39,0.05,0
2822,55500,22,3000,MEDICAL,6.0,10.59,0.05,0
2823,34900,22,4000,DEBTCONSOLIDATION,6.0,9.99,0.11,0
2824,56000,25,3000,PERSONAL,2.0,12.69,0.05,0
2826,34977,22,13000,PERSONAL,5.0,16.0,0.37,0
2827,34980,25,6000,VENTURE,1.0,11.48,0.17,0
2828,50160,25,3000,DEBTCONSOLIDATION,0.0,14.42,0.06,1
2829,34992,23,22550,EDUCATION,4.0,15.96,0.64,0
2830,57000,21,3000,PERSONAL,3.0,5.42,0.05,0
2831,35000,24,8000,HOMEIMPROVEMENT,9.0,11.71,0.23,0
2832,57000,24,3000,MEDICAL,1.0,7.88,0.05,0
2833,35000,23,12000,DEBTCONSOLIDATION,7.0,12.42,0.34,0
2834,58000,22,3000,EDUCATION,6.0,11.83,0.05,0
2835,58500,23,3000,DEBTCONSOLIDATION,2.0,9.88,0.05,0
2836,59000,23,3000,DEBTCONSOLIDATION,5.0,7.14,0.05,0
2837,59300,23,3000,MEDICAL,1.0,9.63,0.05,0
2839,35000,23,5000,MEDICAL,7.0,11.71,0.14,0
2840,60000,25,3000,EDUCATION,5.0,17.58,0.05,0
2841,60000,26,3000,VENTURE,5.0,15.62,0.05,0
2842,35000,26,4800,HOMEIMPROVEMENT,3.0,6.03,0.14,0
2843,35000,24,15000,MEDICAL,3.0,14.27,0.43,0
2844,60000,26,3000,DEBTCONSOLIDATION,3.0,10.0,0.05,0
2845,60000,23,3000,DEBTCONSOLIDATION,1.0,7.51,0.05,0
2846,60000,23,3000,MEDICAL,1.0,10.25,0.05,0
2847,35000,21,6900,PERSONAL,5.0,12.42,0.2,0
2849,60000,22,3000,PERSONAL,2.0,11.89,0.05,0
2850,60996,26,3000,HOMEIMPROVEMENT,6.0,12.22,0.05,0
2851,35000,24,8575,MEDICAL,6.0,10.65,0.24,0
2852,35000,22,9500,DEBTCONSOLIDATION,6.0,6.03,0.27,0
2853,55160,24,3000,EDUCATION,0.0,8.9,0.05,1
